Urban Area,Composite Index,Grocery Items,Housing,Utilities,Transportation,Health Care,Miscellaneous Goods and Services
"Anniston-Calhoun, County, AL",91.2,101.2,74.8,111.2,88.8,89.3,96.6
Akron OH,100.2,105.1,99.7,107.9,107.1,86.8,96
"Albany, GA",90.1,108.7,74.8,82,96.6,89.8,96.8
"Albany, NY",108.1,105,112.6,101,102.8,111.7,108.6
"Alexandria, LA",95.1,96,92.7,89.9,97.2,92.9,98.2
"Amarillo, TX",89.5,89.9,89.4,80.4,92.1,95.2,90.8
"Americus, GA",88.3,105.5,71,88.2,99.8,103.7,91.3
"Ames, IA",96.8,93.7,104.8,82.3,101.8,98.4,93.7
"Anchorage, AK",128.4,134.5,142.9,94.1,122,135.7,124.8
"Anderson, SC",91.8,103.4,77,101.6,92.3,99.7,95.9
"Appleton, WI",93.3,93,81.8,102.3,104.4,104.7,96
"Ardmore, OK",87.3,92.9,77.3,84.8,101.3,93.7,89.8
"Arlington, TX",99.3,94.4,89.4,109.9,98.3,105.4,106.4
"Asheville, NC",101.1,104.6,97.8,113.1,94.2,104.7,100.6
"Ashland, OH",88.5,100.7,72.1,92.1,98.2,88.8,94.2
"Atlanta, GA",95.6,96.2,90.7,86.3,99.3,103.3,100.3
"Auburn-Opelika, AL",98.9,104.6,90.2,101.3,92.9,88.4,106.5
"Augusta-Aiken, GA-SC",93.2,106,79.4,92.1,93.9,101.4,99.4
"Austin, TX",95.5,89.3,85.1,110.7,100.2,100.3,100.4
"Bakersfield, CA",103.4,107.6,98.4,104.3,111.3,107.2,103.1
"Baltimore, MD",119.4,110.8,155.4,112.5,105.3,97.9,100
"Baton, Rouge, LA",96.1,100.4,102.2,78.2,90.4,97.7,95.8
"Beaufort, SC",105.2,106.9,103.5,114.3,99.6,95.7,106
"Beaumont, TX",95.7,87.1,95.9,92.5,100.4,98.7,98.1
"Bellingham, WA",113,114.9,135.9,83.8,113.2,115.3,100.8
"Bergen-Passaic, NJ",131.3,112.1,174,128.9,102.4,106.3,113.8
"Bethesda-Gaithersburg-Frederick, MD",130.5,108.5,184.2,120.6,110.1,104,104.4
"Binghamton, NY",98.4,92.4,92.6,112.8,104.4,114.3,97.7
"Birmingham, AL",90.8,93.5,73.2,105.7,93.5,87.9,100.3
"Bismarck-Mandan, ND",95.3,105.9,91.5,70.1,102.6,100.5,99.4
"Blacksburg, VA",95,91.5,94.9,102.3,91.1,97.5,95.1
"Boise, ID",97.2,98.5,84,99.6,108,106.6,103.3
"Boston, MA",132.5,116.7,152.7,138.6,104.5,123.5,128.6
"Bowling, Green, KY",90.7,93.3,78.2,104.3,96.7,95.8,94
"Bozeman, MT",102,107.3,101.8,89.1,101.6,102.4,104
"Bradenton, FL",95.8,106.6,90.2,90.4,101.3,98.8,96.1
"Brazoria, County, TX",89.3,87.9,75.8,100.8,96,95.6,95.6
"Brownsville, TX",85.8,88.6,71,93.1,95,96.5,91.4
"Buffalo, NY",95.8,91.8,97.4,115.6,104.8,92,87.6
"Burlington, IA",97,93.8,94.6,108.6,98.6,89.9,97.1
"Burlington, NC",94.6,98.6,86,82.3,97.5,102.5,102.5
"Burlington-Chittenden, Co, VT",120.5,112.9,138.7,122.2,102.5,104.6,114.2
"Camden, SC",97.4,103.4,87.8,107.5,86,93.1,104.3
"Cape, Coral-Fort, Myers, FL",95.6,107.9,87.5,83.7,103,98.7,98.9
"Carlsbad, NM",95.4,102.6,86.6,99.3,95.3,96,98.9
"Cedar, City, UT",88.7,102.5,73.9,83.7,97.8,85.5,95.5
"Cedar, Rapids, IA",92,94.8,79.1,101.6,97.1,94.4,97.5
"Champaign-Urbana, IL",96.9,98.5,90.8,97.1,98.2,100.5,100.7
"Chapel, Hill, NC",113,100.9,127,85.7,122.8,105.8,112.1
"Charleston, WV",92.7,88.8,89.3,96.7,102.9,93.9,92.9
"Charleston-N, Charleston, SC",98.3,105.7,92.6,96.6,93.9,104.4,101.5
"Charlotte, NC",93.2,97.1,79.5,91.2,95.7,110.3,101.4
"Charlottesville, VA",107,101.2,122.6,100.8,90.6,94.5,104
"Chattanooga, TN",91.1,97.4,84,82.5,96.4,93.3,95.7
"Cheyenne, WY",100.5,101.7,107.9,96.3,95,98.3,96.5
"Chicago, IL",116.9,111.2,134.8,117.3,116.5,108.5,104.4
"Cincinnati, OH",93.8,96.4,81.9,103.8,98,95.8,98.7
"Clarksburg, WV",95,95.2,93.1,92.2,103.8,89.5,95.5
"Clarksville, TN",93,87.9,86,86.5,93.9,98.7,102.3
"Cleveland, OH",101,108.1,93.3,109,101.4,104.3,102.1
"Cleveland, TN",93.4,101.6,87.7,103.4,91.9,91.3,92.9
"Colorado, Springs, CO",92.8,95.4,92,86.8,96.2,102.3,92.1
"Columbia, MO",91.8,92.6,81.4,90.4,96.3,96.4,99.1
"Columbia, SC",100.4,105.2,82.3,109,102,106.2,110.6
"Columbus, OH",92,91.6,86.2,100.2,99.1,107.7,90.6
"Conroe, TX",91.4,89.4,80.1,96.1,93.8,95,99.7
"Conway, AR",86.6,97.9,78.8,92,96.6,89.8,84
"Cookeville, TN",85.7,86.7,71.4,82.9,87.5,87.1,98.2
"Corpus, Christi, TX",90.8,82.4,79.6,113.5,93.3,92.8,96
"Covington, KY",87.8,86,76.8,100.2,99.9,90.6,90.3
"Dallas, TX",91.9,96.2,70.7,105.5,100.9,103.8,100.4
"Danville, IL",91.1,94.6,74.2,116.4,109.3,95.8,90.7
"Dare, County, NC",107.3,111.7,116.7,92.9,110.2,111.7,100.4
"Davenport-Moline-Rock, Is, IA-IL",96.8,98.7,98.7,81.4,104.3,97.9,96.8
"Dayton, OH",91.4,89.2,74.5,106.1,103.1,93.2,99
"Decatur, IL",91.4,89.1,88.2,92.2,96.7,91.9,93.3
"Decatur-Hartselle, AL",89.2,98.5,74.2,90.6,96.7,85.5,96.6
"Denver, CO",103.2,101,107.5,101.9,95.4,105.9,102.7
"Des, Moines, IA",90.9,90.9,89.6,90.2,95.9,90.8,90.9
"Detroit, MI",99.4,92.7,95.2,129.5,101.3,94.2,96.6
"Dodge, City, KS",89.3,90,77.6,85.5,95.6,89.9,98.5
"Dothan, AL",89.8,100.3,80.1,79.7,91.8,81.7,97.9
"Douglas, GA",88.6,104.1,68.5,97.9,89.3,91.3,96.6
"Dover, DE",99.7,110.4,90.9,108.8,97.5,103,100.7
"Dubuque, IA",95.9,98.1,86.5,105.2,99.5,96.5,99.5
"Durham, NC",96.6,97.9,86.8,96.3,105.5,108.5,100.6
"Dutchess, County, NY",120.4,109.8,141.3,118.8,109.3,110.4,111.1
"Dyersburg, TN",88.6,93.4,73.8,95.2,92.9,86.3,96.7
"Eau, Claire, WI",93.7,97.6,90.5,84.8,103.1,105.5,93.5
"Edmond, OK",91.6,88.7,82.8,90.2,97.7,94.3,98.9
"El, Paso, TX",90.4,99.9,86,88.1,97,95.4,88.5
"Elkhart-Goshen, IN",94,91.4,92.7,84.5,99.7,92.8,97.5
"Enid, OK",93.6,103.5,77.4,96.1,99.5,99.5,100.7
"Erie, PA",92.1,96.4,91.1,96,98.4,91.2,88.4
"Eugene, OR",109.8,93.8,132.3,85.3,110,118.2,102.9
"Evansville, IN",96.2,97.9,86.3,120,97.1,97.4,96.4
"Everett, WA",111.3,112,128.1,85.4,110.4,129.1,102.1
"Fairbanks, AK",137.4,127.9,148.5,193.1,118.7,144.9,118.8
"Fargo-Moorhead, ND-MN",92.7,99.8,87.4,78.7,95.8,102.4,96.6
