permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/company/0xdata,0xdata,software,1700000,unknown,USA,CA,SF Bay,mountain view,1,NULL,1/3/2013,1/3/2013,NULL
/company/1,One Inc.,mobile,2000050,acquired,USA,CA,SF Bay,san francisco,2,NULL,7/20/2011,8/3/2011,12/22/2012
/company/10-20-media,10-20 Media,ecommerce,250000,unknown,USA,MD,Washington DC,woodbine,1,1/1/2001,3/30/2010,3/30/2010,NULL
/company/1000memories,1000memories,web,2535000,acquired,USA,CA,SF Bay,san francisco,2,7/1/2010,1/1/2010,2/16/2011,7/4/2013
/company/1000museums-com,1000museums.com,web,647879,unknown,USA,WA,Seattle,bellevue,1,NULL,4/8/2013,4/8/2013,2/16/2013
/company/1010data,1010data,software,35000000,unknown,USA,NY,New York,new york,1,1/1/2000,3/8/2010,3/8/2010,6/1/2012
/company/10bestthings,10BestThings,web,50000,unknown,USA,OH,Cleveland,cleveland,1,4/1/2009,4/1/2009,4/1/2009,NULL
/company/10gen,10gen,software,73400000,unknown,USA,NY,New York,new york,7,11/1/2007,7/21/2008,11/14/2012,5/5/2013
/company/10sheet,Bench.co,enterprise,2000000,unknown,USA,NY,New York,new york,2,1/1/2012,3/1/2012,10/1/2012,6/14/2012
/company/11i-solutions,11i Solutions,software,1800000,unknown,USA,AL,Huntsville,huntsville,1,NULL,3/22/2011,3/22/2011,NULL
/company/121nexus,121nexus,software,939759,unknown,USA,RI,Providence,providence,4,10/7/2011,2/6/2012,2/6/2013,4/27/2012
/company/1366-technologies,1366 Technologies,semiconductor,48950000,unknown,USA,MA,Boston,lexington,6,1/1/2007,3/27/2008,2/7/2011,6/17/2011
/company/140-proof,140 Proof,software,5500000,unknown,USA,CA,SF Bay,san francisco,2,1/11/2010,7/1/2009,4/28/2011,1/24/2013
/company/140fire,140Fire,advertising,500000,unknown,USA,CA,Los Angeles,santa monica,1,1/1/2010,5/5/2010,5/5/2010,2/24/2011
/company/15five,15Five,enterprise,1200000,unknown,USA,CA,SF Bay,san francisco,2,5/1/2011,1/1/2012,1/15/2013,1/15/2013
/company/169-st,169 ST.,games_video,50000,unknown,USA,FL,Orlando,lake mary,1,5/15/2009,6/1/2009,6/1/2009,5/1/2009
/company/170-systems,170 Systems,software,14000000,acquired,USA,MA,Boston,bedford,1,1/1/1990,4/16/2002,4/16/2002,2/1/2003
/company/1bog,One Block Off the Grid (1BOG),cleantech,5000000,acquired,USA,CA,SF Bay,san francisco,1,11/1/2008,2/11/2010,2/11/2010,12/21/2011
/company/1daymakeover,1DayMakeover,ecommerce,50000,unknown,USA,CA,Los Angeles,santa ana,1,6/30/2008,6/30/2008,6/30/2008,NULL
/company/1energy-systems,1Energy Systems,software,1450000,unknown,USA,WA,Seattle,seattle,1,NULL,4/22/2013,4/22/2013,NULL
/company/1stdibs,1stdibs,ecommerce,42000000,unknown,USA,NY,New York,new york,3,1/1/2001,11/3/2011,12/3/2012,NULL
/company/1world-online,1World Online,web,1000000,unknown,USA,CA,SF Bay,san jose,1,12/1/2011,7/2/2013,7/2/2013,3/8/2013
/company/2080-media,2080 Media,NULL,6800000,unknown,USA,GA,Atlanta,atlanta,2,1/1/2008,8/5/2010,12/20/2012,NULL
/company/20jeans,20JEANS,ecommerce,1000000,unknown,USA,CA,Los Angeles,los angeles,2,8/1/2012,2/1/2013,4/18/2013,8/1/2012
/company/20x200,20x200,ecommerce,2800000,unknown,USA,NY,New York,new york,2,9/1/2007,10/1/2009,8/1/2010,11/29/2011
/company/22nd-century-group,22nd Century Group,biotech,597200,unknown,USA,NY,Clarence,clarence,2,1/1/1998,8/23/2012,2/6/2013,NULL
/company/23andme,23andMe,biotech,160549892,unknown,USA,CA,SF Bay,mountain view,6,4/1/2006,5/1/2007,12/21/2012,12/1/2012
/company/247-techies,247 Techies,hardware,600000,unknown,USA,NY,New York,new york,1,NULL,11/5/2012,11/5/2012,NULL
/company/24m-technologies,24M Technologies,cleantech,16000000,unknown,USA,NULL,Boston,cambridge,1,1/1/2010,8/16/2010,8/16/2010,3/2/2011
/company/250ok,250ok,software,200000,unknown,USA,IN,Indianapolis,indianapolis,1,1/1/2012,9/1/2012,9/1/2012,5/1/2012
/company/27-perry,27 Perry,ecommerce,118000,unknown,USA,CO,Denver,boulder,1,7/25/2012,5/17/2012,5/17/2012,7/25/2012
/company/2bkco,2bkco,web,2000000,unknown,USA,NULL,United States - Other,NULL,1,1/1/2011,2/16/2012,2/16/2012,12/1/2011
/company/2go-software-solutions,2GO Mobile Solutions,software,825000,unknown,USA,TX,Dallas,plano,1,1/1/2008,1/9/2010,1/9/2010,8/1/2009
/company/2nd-story-software-inc,"2nd Story Software, Inc.",software,85000000,acquired,USA,IA,Cedar Rapids,cedar rapids,1,2/15/1998,3/30/2005,3/30/2005,NULL
/company/2nd-watch,2nd Watch,software,4154420,unknown,USA,WA,Seattle,seattle,1,1/1/2010,12/27/2012,12/27/2012,NULL
/company/2sms,2sms,NULL,939000,unknown,USA,IL,Chicago,schaumburg,1,NULL,11/1/2007,11/1/2007,NULL
/company/2u,2U,education,90775000,unknown,USA,MD,Washington DC,landover,5,1/1/2008,3/25/2009,4/2/2012,11/15/2012
/company/3-v-biosciences,3-V Biosciences,biotech,70000000,unknown,USA,CA,SF Bay,palo alto,3,3/1/2007,7/10/2009,6/21/2013,2/1/2012
/company/33across,33Across,advertising,24134560,unknown,USA,NY,New York,new york,4,9/1/2007,3/13/2009,7/19/2012,7/1/2012
/company/360imaging,360imaging,biotech,5500000,unknown,USA,GA,Atlanta,atlanta,2,1/1/2005,1/1/2005,1/1/2010,NULL
/company/365scores,365Scores,software,1200000,unknown,USA,NULL,United States - Other,NULL,1,NULL,1/28/2013,1/28/2013,NULL
/company/3clickemr-corporation,3ClickEMR Corporation,software,500000,unknown,USA,MA,Boston,west roxbury,2,6/23/2010,6/23/2010,6/1/2011,6/23/2010
/company/3crowd-technologies,XDN/3Crowd Technologies,NULL,6620000,acquired,USA,CA,SF Bay,san mateo,2,1/1/2010,12/22/2009,4/13/2010,6/1/2012
/company/3d-biomatrix,3D Biomatrix,biotech,1465000,unknown,USA,MI,Detroit,ann arbor,1,1/1/2010,2/5/2013,2/5/2013,NULL
/company/3d-future-vision-ii,3D FUTURE VISION II,public_relations,124000,unknown,USA,FL,Orlando,longwood,1,1/1/2011,3/21/2013,3/21/2013,NULL
/company/3d-robotics,3D Robotics,hardware,5000000,unknown,USA,CA,San Diego,san diego,1,NULL,11/5/2012,11/5/2012,4/20/2013
/company/3d-systems,3D Systems,games_video,1000000,ipo,USA,SC,Rock Hill,rock hill,1,1/1/1986,1/13/2010,1/13/2010,6/26/2013
/company/3dcart-shopping-cart-software,3dCart Shopping Cart Software,ecommerce,1250000,unknown,USA,FL,Fort Lauderdale,lauderhill,1,5/1/1997,1/1/2010,1/1/2010,4/1/2004
