permalink,name,entity_type,category_code,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/company/1-800-flowers-com,1-800-FLOWERS.COM,Company,NULL,unknown,USA,NY,New York,new york,NULL,1/1/1976,NULL,NULL,3/21/2011
/company/10xelerator,10Xelerator,Company,NULL,unknown,USA,OH,Columbus,columbus,NULL,4/6/2011,NULL,NULL,NULL
/company/3taps,3taps,Company,web,unknown,USA,CA,SF Bay,san francisco,NULL,1/1/2009,NULL,NULL,4/30/2013
/company/500-hats,500 Hats,Company,NULL,unknown,USA,CA,SF Bay,palo alto,NULL,9/1/1938,NULL,NULL,11/9/2012
/company/a-g-edwards-sons,A.G. Edwards & Sons,Company,NULL,unknown,USA,MO,Saint Louis,saint louis,NULL,NULL,NULL,NULL,11/1/2006
/company/a123systems,A123 Systems,Company,cleantech,ipo,USA,MA,Boston,watertown,1/7/1900,1/1/2001,11/1/2005,6/7/2012,6/17/2011
/company/abakan-inc,Abakan,Company,cleantech,unknown,USA,FL,Miami,miami,1/2/1900,1/1/2006,12/12/2012,6/5/2013,NULL
/company/abbott,Abbott Labs,Company,biotech,ipo,USA,IL,Chicago,des plaines,NULL,1/1/1991,NULL,NULL,5/3/2012
/company/abbvie,AbbVie,Company,biotech,unknown,USA,IL,Chicago,chicago,NULL,1/1/2013,NULL,NULL,NULL
/company/abry-partners,ABRY Partners,Company,other,unknown,USA,MA,Boston,boston,NULL,1/1/1989,NULL,NULL,8/11/2011
/company/academic-partnerships,Academic Partnerships,Company,NULL,unknown,USA,TX,Dallas,dallas,NULL,1/1/2007,NULL,NULL,NULL
/company/accenture,Accenture,Company,consulting,ipo,USA,CA,San Diego,san diego,NULL,1/1/2001,NULL,NULL,6/24/2013
/company/accenture-technology-ventures,Accenture Technology Ventures,Company,education,unknown,USA,CA,SF Bay,palo alto,NULL,1/3/2008,NULL,NULL,NULL
/company/accion-international,Accion,Company,NULL,unknown,USA,MA,Boston,boston,1/1/1900,1/1/1961,12/7/2011,6/26/2012,11/1/2012
/company/acidophil,Acidophil,Company,biotech,unknown,USA,MD,Baltimore,baltimore,NULL,NULL,NULL,NULL,NULL
/company/activation-media,Activation Media,Company,games_video,unknown,USA,NY,New York,new york,NULL,1/1/2010,NULL,NULL,5/27/2011
/company/acxiom,Acxiom,Company,software,ipo,USA,AR,Little Rock,little rock,NULL,1/1/1969,NULL,NULL,2/27/2013
/company/adaptivepath,Adaptive Path,Company,web,unknown,USA,CA,SF Bay,san francisco,NULL,3/1/2001,NULL,NULL,4/28/2012
/company/admitone-security,AdmitOne Security,Company,security,unknown,USA,WA,Seattle,issaquah,1/1/1900,1/1/2002,11/9/2005,1/8/2008,10/1/2005
/company/adobe-systems,Adobe Systems,Company,software,ipo,USA,CA,SF Bay,san jose,NULL,12/1/1982,NULL,NULL,6/27/2013
/company/advance-publications,Advance Publications,Company,public_relations,unknown,USA,NY,New York,staten island,NULL,1/1/1922,NULL,NULL,4/1/2013
/company/advantest,Advantest,Company,NULL,unknown,USA,CA,SF Bay,santa clara,NULL,1/1/1954,NULL,NULL,NULL
/company/aeg,AEG,Company,NULL,unknown,USA,CA,Los Angeles,los angeles,NULL,NULL,NULL,NULL,11/12/2012
/company/aegis-media,Aegis Media,Company,advertising,unknown,USA,NY,New York,new york,NULL,1/1/1968,NULL,NULL,8/1/2012
/company/aes-corporation,AES Corporation,Company,semiconductor,unknown,USA,NULL,Boston,boston,NULL,NULL,NULL,NULL,6/15/2010
/company/agilent,Agilent Technologies,Company,biotech,ipo,USA,CA,SF Bay,santa clara,NULL,1/1/1939,NULL,NULL,7/16/2012
/company/ah-belo,AH Belo,Company,NULL,unknown,USA,TX,Dallas,dallas,NULL,NULL,NULL,NULL,NULL
/company/ali-corporation,ALi Corporation,Company,public_relations,unknown,USA,CA,Los Angeles,los angeles,NULL,NULL,NULL,NULL,NULL
/company/alienware,Alienware,Company,hardware,acquired,USA,FL,Miami,miami,NULL,1/1/1996,NULL,NULL,1/18/2012
/company/all-metal-stamping,All Metal Stamping,Company,NULL,unknown,USA,WI,Abbotsford,abbotsford,NULL,NULL,NULL,NULL,NULL
/company/allergan,Allergan,Company,biotech,ipo,USA,CA,Los Angeles,irvine,NULL,NULL,NULL,NULL,11/16/2012
/company/alliance-acquisitions-inc,Alliance Acquisitions,Company,other,unknown,USA,CA,Los Angeles,los angeles,NULL,NULL,NULL,NULL,11/1/2010
/company/alta-communications,Alta Communications,Company,public_relations,unknown,USA,MA,Boston,boston,NULL,1/1/1996,NULL,NULL,11/1/2009
/company/amazon,Amazon,Company,ecommerce,ipo,USA,WA,Seattle,seattle,12/31/1899,1/1/1994,7/1/1995,7/1/1995,7/3/2013
/company/amd,AMD,Company,hardware,ipo,USA,CA,SF Bay,sunnyvale,NULL,1/1/1969,NULL,NULL,5/21/2013
/company/american-medical-systems,American Medical Systems,Company,NULL,unknown,USA,MN,Minneapolis,minnetonka,NULL,NULL,NULL,NULL,7/1/2005
/company/americanexpress,American Express,Company,other,unknown,USA,NULL,TBD,NULL,NULL,NULL,NULL,NULL,2/21/2013
/company/amgen,Amgen,Company,biotech,unknown,USA,CA,Los Angeles,thousand oaks,NULL,1/1/1985,NULL,NULL,6/14/2013
/company/amylin-pharmaceuticals,Amylin Pharmaceuticals,Company,biotech,ipo,USA,CA,San Diego,san diego,NULL,1/1/1987,NULL,NULL,3/28/2012
/company/angel-capital-group,Angel Capital Group,Company,consulting,unknown,USA,TN,Nashville,nashville,NULL,1/1/2007,NULL,NULL,5/17/2012
