permalink,name,entity_type,category_code,raised_amount_usd,funded_at,funding_round_type,status,country_code,state_code,region,city
/company/0xdata,0xdata,Company,software,1700000,1/3/2013,venture,unknown,USA,CA,SF Bay,mountain view
/company/1,One Inc.,Company,mobile,1000050,7/20/2011,angel,acquired,USA,CA,SF Bay,san francisco
/company/1,One Inc.,Company,mobile,1000000,8/3/2011,venture,acquired,USA,CA,SF Bay,san francisco
/company/10-20-media,10-20 Media,Company,ecommerce,250000,3/30/2010,angel,unknown,USA,MD,Washington DC,woodbine
/company/1000memories,1000memories,Company,web,15000,1/1/2010,angel,acquired,USA,CA,SF Bay,san francisco
/company/1000memories,1000memories,Company,web,2520000,2/16/2011,series-a,acquired,USA,CA,SF Bay,san francisco
/company/1000museums-com,1000museums.com,Company,web,647879,4/8/2013,other,unknown,USA,WA,Seattle,bellevue
/company/1010data,1010data,Company,software,35000000,3/8/2010,venture,unknown,USA,NY,New York,new york
/company/10bestthings,10BestThings,Company,web,50000,4/1/2009,angel,unknown,USA,OH,Cleveland,cleveland
/company/10gen,10gen,Company,software,1500000,7/21/2008,series-a,unknown,USA,NY,New York,new york
/company/10gen,10gen,Company,software,3400000,11/4/2009,series-b,unknown,USA,NY,New York,new york
/company/10gen,10gen,Company,software,6500000,12/2/2010,series-c+,unknown,USA,NY,New York,new york
/company/10gen,10gen,Company,software,20000000,9/12/2011,series-c+,unknown,USA,NY,New York,new york
/company/10gen,10gen,Company,software,42000000,5/29/2012,series-c+,unknown,USA,NY,New York,new york
/company/10sheet,Bench.co,Company,enterprise,2000000,10/1/2012,series-a,unknown,USA,NY,New York,new york
/company/11i-solutions,11i Solutions,Company,software,1800000,3/22/2011,venture,unknown,USA,AL,Huntsville,huntsville
/company/121nexus,121nexus,Company,software,14000,2/6/2012,angel,unknown,USA,RI,Providence,providence
/company/121nexus,121nexus,Company,software,55000,4/20/2012,angel,unknown,USA,RI,Providence,providence
/company/121nexus,121nexus,Company,software,500000,1/22/2013,angel,unknown,USA,RI,Providence,providence
/company/121nexus,121nexus,Company,software,370759,2/6/2013,angel,unknown,USA,RI,Providence,providence
/company/1366-technologies,1366 Technologies,Company,semiconductor,5150000,2/3/2010,venture,unknown,USA,MA,Boston,lexington
/company/1366-technologies,1366 Technologies,Company,semiconductor,20000000,10/19/2010,series-b,unknown,USA,MA,Boston,lexington
/company/1366-technologies,1366 Technologies,Company,semiconductor,12400000,3/27/2008,series-a,unknown,USA,MA,Boston,lexington
/company/1366-technologies,1366 Technologies,Company,semiconductor,6000000,12/16/2010,series-b,unknown,USA,MA,Boston,lexington
/company/1366-technologies,1366 Technologies,Company,semiconductor,2400000,1/14/2011,series-b,unknown,USA,MA,Boston,lexington
/company/1366-technologies,1366 Technologies,Company,semiconductor,3000000,2/7/2011,other,unknown,USA,MA,Boston,lexington
/company/140-proof,140 Proof,Company,software,2500000,4/28/2011,series-b,unknown,USA,CA,SF Bay,san francisco
/company/140-proof,140 Proof,Company,software,3000000,7/1/2009,series-a,unknown,USA,CA,SF Bay,san francisco
/company/140fire,140Fire,Company,advertising,500000,5/5/2010,angel,unknown,USA,CA,Los Angeles,santa monica
/company/15five,15Five,Company,enterprise,1000000,1/15/2013,venture,unknown,USA,CA,SF Bay,san francisco
/company/15five,15Five,Company,enterprise,200000,1/1/2012,angel,unknown,USA,CA,SF Bay,san francisco
/company/169-st,169 ST.,Company,games_video,50000,6/1/2009,angel,unknown,USA,FL,Orlando,lake mary
/company/170-systems,170 Systems,Company,software,14000000,4/16/2002,series-a,acquired,USA,MA,Boston,bedford
/company/1bog,One Block Off the Grid (1BOG),Company,cleantech,5000000,2/11/2010,series-a,acquired,USA,CA,SF Bay,san francisco
/company/1daymakeover,1DayMakeover,Company,ecommerce,50000,6/30/2008,angel,unknown,USA,CA,Los Angeles,santa ana
/company/1energy-systems,1Energy Systems,Company,software,1450000,4/22/2013,venture,unknown,USA,WA,Seattle,seattle
/company/1stdibs,1stdibs,Company,ecommerce,42000000,12/3/2012,venture,unknown,USA,NY,New York,new york
/company/1world-online,1World Online,Company,web,1000000,7/2/2013,series-a,unknown,USA,CA,SF Bay,san jose
/company/2080-media,2080 Media,Company,NULL,2500000,8/5/2010,venture,unknown,USA,GA,Atlanta,atlanta
/company/2080-media,2080 Media,Company,NULL,4300000,12/20/2012,other,unknown,USA,GA,Atlanta,atlanta
/company/20jeans,20JEANS,Company,ecommerce,1000000,4/18/2013,angel,unknown,USA,CA,Los Angeles,los angeles
/company/20x200,20x200,Company,ecommerce,800000,10/1/2009,series-a,unknown,USA,NY,New York,new york
/company/20x200,20x200,Company,ecommerce,2000000,8/1/2010,series-a,unknown,USA,NY,New York,new york
/company/22nd-century-group,22nd Century Group,Company,biotech,67200,2/6/2013,angel,unknown,USA,NY,Clarence,clarence
/company/22nd-century-group,22nd Century Group,Company,biotech,530000,8/23/2012,other,unknown,USA,NY,Clarence,clarence
/company/23andme,23andMe,Company,biotech,9000000,5/1/2007,series-a,unknown,USA,CA,SF Bay,mountain view
/company/23andme,23andMe,Company,biotech,12600000,6/18/2009,series-b,unknown,USA,CA,SF Bay,mountain view
/company/23andme,23andMe,Company,biotech,22000000,11/9/2010,series-c+,unknown,USA,CA,SF Bay,mountain view
/company/23andme,23andMe,Company,biotech,9000000,1/7/2011,series-c+,unknown,USA,CA,SF Bay,mountain view
/company/23andme,23andMe,Company,biotech,50000000,12/10/2012,series-c+,unknown,USA,CA,SF Bay,mountain view
/company/23andme,23andMe,Company,biotech,57949892,12/21/2012,series-c+,unknown,USA,CA,SF Bay,mountain view
/company/247-techies,247 Techies,Company,hardware,600000,11/5/2012,angel,unknown,USA,NY,New York,new york
/company/24m-technologies,24M Technologies,Company,cleantech,16000000,8/16/2010,series-a,unknown,USA,NULL,Boston,cambridge
/company/250ok,250ok,Company,software,200000,9/1/2012,angel,unknown,USA,IN,Indianapolis,indianapolis
/company/27-perry,27 Perry,Company,ecommerce,118000,5/17/2012,angel,unknown,USA,CO,Denver,boulder
/company/2bkco,2bkco,Company,web,2000000,2/16/2012,series-a,unknown,USA,NULL,United States - Other,NULL
/company/2go-software-solutions,2GO Mobile Solutions,Company,software,825000,1/9/2010,angel,unknown,USA,TX,Dallas,plano
